chr,start,end,gene
chr1,11168314,11168438,MTOR
chr1,11169343,11169466,MTOR
chr1,11174374,11174494,MTOR
chr1,11182093,11182218,MTOR
chr1,11184539,11184658,MTOR
chr1,11187794,11187920,MTOR
chr1,11188005,11188099,MTOR
chr1,11188114,11188228,MTOR
chr1,11189759,11189881,MTOR
chr1,11190791,11190899,MTOR
chr1,11210100,11210228,MTOR
chr1,11217203,11217324,MTOR
chr1,11227467,11227591,MTOR
chr1,27022879,27023026,ARID1A
chr1,27022976,27023113,ARID1A
chr1,27023113,27023219,ARID1A
chr1,27023211,27023298,ARID1A
chr1,27023249,27023347,ARID1A
chr1,27023344,27023468,ARID1A
chr1,27023377,27023516,ARID1A
chr1,27023509,27023596,ARID1A
chr1,27023551,27023684,ARID1A
chr1,27023684,27023772,ARID1A
chr1,27023710,27023837,ARID1A
chr1,27023829,27023942,ARID1A
chr1,27023895,27024032,ARID1A
chr1,27024031,27024138,ARID1A
chr1,27056093,27056167,ARID1A
chr1,27056167,27056290,ARID1A
chr1,27056218,27056348,ARID1A
chr1,27056347,27056442,ARID1A
chr1,27057611,27057690,ARID1A
chr1,27057652,27057780,ARID1A
chr1,27057757,27057842,ARID1A
chr1,27057813,27057942,ARID1A
chr1,27057908,27057995,ARID1A
chr1,27057974,27058097,ARID1A
chr1,27058070,27058149,ARID1A
chr1,27059096,27059169,ARID1A
chr1,27059166,27059286,ARID1A
chr1,27059267,27059342,ARID1A
chr1,27087331,27087443,ARID1A
chr1,27087432,27087550,ARID1A
chr1,27087482,27087603,ARID1A
chr1,27087856,27087929,ARID1A
chr1,27087870,27087994,ARID1A
chr1,27088613,27088717,ARID1A
chr1,27088716,27088818,ARID1A
chr1,27089444,27089556,ARID1A
chr1,27089521,27089642,ARID1A
chr1,27089625,27089711,ARID1A
chr1,27089677,27089796,ARID1A
chr1,27092701,27092772,ARID1A
chr1,27092768,27092866,ARID1A
chr1,27092934,27093052,ARID1A
chr1,27093030,27093120,ARID1A
chr1,27094275,27094354,ARID1A
chr1,27094334,27094424,ARID1A
chr1,27094393,27094472,ARID1A
chr1,27094469,27094546,ARID1A
chr1,27097604,27097729,ARID1A
chr1,27097729,27097809,ARID1A
chr1,27097778,27097900,ARID1A
chr1,27098914,27098992,ARID1A
chr1,27098991,27099117,ARID1A
chr1,27099077,27099161,ARID1A
chr1,27099295,27099370,ARID1A
chr1,27099360,27099432,ARID1A
chr1,27099402,27099483,ARID1A
chr1,27099765,27099842,ARID1A
chr1,27099833,27099979,ARID1A
chr1,27099978,27100082,ARID1A
chr1,27100080,27100210,ARID1A
chr1,27100176,27100298,ARID1A
chr1,27100288,27100417,ARID1A
chr1,27100814,27100963,ARID1A
chr1,27100896,27100994,ARID1A
chr1,27100994,27101125,ARID1A
chr1,27101097,27101178,ARID1A
chr1,27101158,27101287,ARID1A
chr1,27101256,27101335,ARID1A
chr1,27101320,27101450,ARID1A
chr1,27101433,27101513,ARID1A
chr1,27101485,27101614,ARID1A
chr1,27101570,27101691,ARID1A
chr1,27101642,27101727,ARID1A
chr1,27102049,27102127,ARID1A
chr1,27102068,27102199,ARID1A
chr1,27102171,27102253,ARID1A
chr1,27105496,27105615,ARID1A
chr1,27105603,27105697,ARID1A
chr1,27105646,27105756,ARID1A
chr1,27105752,27105821,ARID1A
chr1,27105791,27105896,ARID1A
chr1,27105881,27105961,ARID1A
chr1,27105926,27106058,ARID1A
chr1,27106054,27106135,ARID1A
chr1,27106096,27106194,ARID1A
chr1,27106191,27106289,ARID1A
chr1,27106227,27106356,ARID1A
chr1,27106356,27106438,ARID1A
chr1,27106388,27106504,ARID1A
chr1,27106497,27106574,ARID1A
chr1,27106535,27106654,ARID1A
chr1,27106630,27106732,ARID1A
chr1,27106692,27106822,ARID1A
chr1,27106805,27106891,ARID1A
chr1,27106857,27106983,ARID1A
chr1,27106971,27107053,ARID1A
chr1,27107012,27107146,ARID1A
chr1,27107144,27107220,ARID1A
chr1,27107177,27107279,ARID1A
chr1,40362965,40363091,MYCL
chr1,40363087,40363221,MYCL
chr1,40363157,40363288,MYCL
chr1,40363391,40363511,MYCL
chr1,40363490,40363604,MYCL
chr1,40366404,40366510,MYCL
chr1,40366490,40366602,MYCL
chr1,40366591,40366709,MYCL
chr1,40366825,40366928,MYCL
chr1,40366909,40367017,MYCL
chr1,53692718,53692842,MAGOH
chr1,65310459,65310579,JAK1
chr1,65311191,65311309,JAK1
chr1,65312329,65312435,JAK1
chr1,115252190,115252312,NRAS
chr1,115256445,115256564,NRAS
chr1,115258718,115258831,NRAS
chr1,120457923,120458050,NOTCH2
chr1,120458050,120458134,NOTCH2
chr1,120458083,120458215,NOTCH2
chr1,120458187,120458270,NOTCH2
chr1,120458250,120458345,NOTCH2
chr1,120458334,120458457,NOTCH2
chr1,120458404,120458537,NOTCH2
chr1,120458512,120458597,NOTCH2
chr1,120458575,120458707,NOTCH2
chr1,120458698,120458784,NOTCH2
chr1,120458747,120458845,NOTCH2
chr1,120458822,120458925,NOTCH2
chr1,120458888,120459008,NOTCH2
chr1,120458968,120459059,NOTCH2
chr1,120459040,120459160,NOTCH2
chr1,120459123,120459208,NOTCH2
chr1,120459192,120459322,NOTCH2
chr1,120460221,120460315,NOTCH2
chr1,120460294,120460383,NOTCH2
chr1,120460361,120460435,NOTCH2
chr1,120461023,120461150,NOTCH2
chr1,120461149,120461226,NOTCH2
chr1,120461930,120462055,NOTCH2
chr1,120462055,120462137,NOTCH2
chr1,120462082,120462220,NOTCH2
chr1,120462199,120462273,NOTCH2
chr1,120462804,120462917,NOTCH2
chr1,120462878,120463007,NOTCH2
chr1,120463007,120463105,NOTCH2
chr1,120464321,120464411,NOTCH2
chr1,120464411,120464483,NOTCH2
chr1,120464840,120464959,NOTCH2
chr1,120464927,120465024,NOTCH2
chr1,120464998,120465081,NOTCH2
chr1,120465222,120465348,NOTCH2
chr1,120465300,120465385,NOTCH2
chr1,120465384,120465466,NOTCH2
chr1,120466229,120466305,NOTCH2
chr1,120466296,120466378,NOTCH2
chr1,120466344,120466474,NOTCH2
chr1,120466472,120466573,NOTCH2
chr1,120466507,120466619,NOTCH2
chr1,120467922,120468053,NOTCH2
chr1,120468026,120468106,NOTCH2
chr1,120468088,120468217,NOTCH2
chr1,120468163,120468248,NOTCH2
chr1,120468247,120468351,NOTCH2
chr1,120468317,120468425,NOTCH2
chr1,120468388,120468518,NOTCH2
chr1,120469109,120469225,NOTCH2
chr1,120469224,120469313,NOTCH2
chr1,120471554,120471629,NOTCH2
chr1,120471614,120471742,NOTCH2
chr1,120471704,120471805,NOTCH2
chr1,120471783,120471863,NOTCH2
chr1,120477988,120478061,NOTCH2
chr1,120478049,120478127,NOTCH2
chr1,120478102,120478230,NOTCH2
chr1,120478217,120478293,NOTCH2
chr1,120479867,120479966,NOTCH2
chr1,120479939,120480020,NOTCH2
chr1,120479999,120480094,NOTCH2
chr1,120480431,120480508,NOTCH2
chr1,120480492,120480638,NOTCH2
chr1,120483146,120483244,NOTCH2
chr1,120483239,120483327,NOTCH2
chr1,120483282,120483387,NOTCH2
chr1,120484129,120484257,NOTCH2
chr1,120484241,120484329,NOTCH2
chr1,120484299,120484392,NOTCH2
chr1,120490926,120491040,NOTCH2
chr1,120491039,120491173,NOTCH2
chr1,120491173,120491263,NOTCH2
chr1,120491612,120491730,NOTCH2
chr1,120491692,120491804,NOTCH2
chr1,120493312,120493436,NOTCH2
chr1,120493409,120493485,NOTCH2
chr1,120496117,120496204,NOTCH2
chr1,120496182,120496252,NOTCH2
chr1,120496243,120496362,NOTCH2
chr1,120497650,120497772,NOTCH2
chr1,120497731,120497814,NOTCH2
chr1,120497809,120497889,NOTCH2
chr1,120501985,120502060,NOTCH2
chr1,120502048,120502131,NOTCH2
chr1,120506190,120506313,NOTCH2
chr1,120506301,120506379,NOTCH2
chr1,120506347,120506443,NOTCH2
chr1,120508066,120508190,NOTCH2
chr1,120508175,120508244,NOTCH2
chr1,120508976,120509097,NOTCH2
chr1,120509044,120509124,NOTCH2
chr1,120510044,120510124,NOTCH2
chr1,120510112,120510195,NOTCH2
chr1,120510167,120510251,NOTCH2
chr1,120510688,120510766,NOTCH2
chr1,120510704,120510832,NOTCH2
chr1,120510831,120510950,NOTCH2
chr1,120512127,120512256,NOTCH2
chr1,120512247,120512358,NOTCH2
chr1,120512290,120512375,NOTCH2
chr1,120529560,120529640,NOTCH2
chr1,120529581,120529697,NOTCH2
chr1,120529695,120529771,NOTCH2
